[19:18:42] [main/INFO]: ModLauncher running: args [--username, cliffpk, --version, modpack, --gameDir, C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack, --assetsDir, C:\Users\Carli\AppData\Roaming\.minecraft\assets, --assetIndex, 5, --uuid, 9c1fe7b90300413687cee10945d0cfc5, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, null, --xuid, null, --userType, mojang, --versionType, release, --width, 1440, --height, 900, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, -XX:+UseG1GC, -XX:+ParallelRefProcEnabled, -XX:MaxGCPauseMillis=200, -XX:+UnlockExperimentalVMOptions, -XX:+DisableExplicitGC, -XX:+AlwaysPreTouch, -XX:G1NewSizePercent=30, -XX:G1MaxNewSizePercent=40, -XX:G1HeapRegionSize=8M, -XX:G1ReservePercent=20, -XX:G1HeapWastePercent=5, -XX:G1MixedGCCountTarget=4, -XX:InitiatingHeapOccupancyPercent=15, -XX:G1MixedGCLiveThresholdPercent=90, -XX:G1RSetUpdatingPauseTimePercent=5, -XX:SurvivorRatio=32, -XX:+PerfDisableSharedMem, -XX:MaxTenuringThreshold=1, -Dusing.aikars.flags=https://mcflags.emc.gs, -Daikars.new.flags=true]
[19:18:42] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[19:18:43] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[19:18:43] [main/INFO]: Trying GL version 4.6
[19:18:43] [main/INFO]: Requested GL version 4.6 got version 4.6
[19:18:43] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Carli/AppData/Roaming/.minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[19:18:44] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3060/PCIe/SSE2 GL version 4.6.0 NVIDIA 556.12, NVIDIA Corporation
[19:18:44] [main/INFO]: Found mod file armorpointspp-forge-1.20-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file artifacts-forge-9.5.9.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Atlas Lib-1.20.1-1.1.12.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file avatar_blockrestoration-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file avatar_daystohorders-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file BadMobs-1.20.1-19.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file balm-forge-1.20.1-7.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file bettercombat-forge-1.8.5+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file betterdays-1.20.1-3.1.0.4-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file betterfpsdist-1.20.1-4.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file biggerstacks-1.20.1-1.0.0-all.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file blocky_siege-6.1.92-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.1.10.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file catalogue-forge-1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file cc1_20_1-0.7 - 1.20.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file celestial_artifacts-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file celestial_core-1.3.5.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file cfm-forge-1.20.1-7.0.0-pre36.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file CGM-Unofficial-1.4.17+Forge+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file chunksending-1.20.1-2.8.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file citadel-2.5.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file cloth-config-11.1.118-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file collective-1.20.1-7.57.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file configurableextramobdrops-1.20.1-3.3.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Connectible Chains-forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file corail_woodcutter-1.20.1-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file CraftTweaker-forge-1.20.1-14.0.40.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file crashutilities-8.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file create-1.20.1-0.5.1.f.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file create-stuff-additions1.20.1_v2.0.4a.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file createaddition-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file createdeco-2.0.2-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file CreativeCore_FORGE_v2.11.30_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file creeperoverhaul-3.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file cristellib-1.1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file cupboard-1.20.1-2.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file curios-forge-5.9.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file CuriosQuarkOBP-1.20.1-1.2.5.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file customvillagertrades-forge-20.25.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file damageindicator-1.0.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file damagenumbers-1.3.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file design_decor-0.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Divine_Weaponry_v1.7_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file dummmmmmy-1.20-1.8.17b.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file DungeonsArise-1.20.x-2.1.58-release.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file DungeonsAriseSevenSeas-1.20.x-1.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file dynamiclights-1.20.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file eatinganimation-1.20-5.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ecologics-forge-1.20.1-2.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file effortlessbuilding-1.20.1-3.8-all.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file embeddium-0.3.24+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file EnhancedAI-2.4.7-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file EnhancedVisuals_FORGE_v1.7.2_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file entity_texture_features_forge_1.20.1-6.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file entityculling-forge-1.6.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file entropy-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file everycomp-1.20-2.6.57.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file expandability-9.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file expanded_ecosphere-3.2.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file experimentalsettingsdisabler-1.20.1-3.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file extragore-1.20.1-5.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file FallingTree-1.20.1-4.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file fancymenu_forge_3.2.3_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file farsight-1.20.1-3.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file farsighted-mobs-forge-1.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file fastasyncworldsave-1.20.1-2.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Fastload-Reforged-mc1.20.1-3.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file fight_or_die-1.20.1-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file FiltPick-forge-mc1.20.1-0.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file flib-1.20.1-0.0.13.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file framework-forge-1.20.1-0.6.27.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ftb-library-forge-2001.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ftb-quests-forge-2001.4.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file fusion-1.1.1-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file GameStages-Forge-1.20.1-15.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file GlobalGameRules-1.20-8.0.0.11.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file gml-4.0.9-all.jar of type LANGPROVIDER with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file goblins_tyranny-1.1.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file grappling_hook_mod-1.20.1-1.20.1-v13.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file gravestone-forge-1.20.1-1.0.15.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file guardvillagers-1.20.1-1.6.5.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Guide-API-VP-1.20.1-2.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file handcrafted-forge-1.20.1-3.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file healthcommand-forge-1.20.1-1.3.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file hiddenrecipebook-1.20.1-4.6.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.21.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file iChunUtil-1.20.1-Forge-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file improvedmobs-1.20.1-1.12.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Incendium_1.20.x_v5.3.5.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file incontrol-1.20-9.2.5.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file infernalmobs-1.20.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file InsaneLib-1.13.4-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file interiors-0.5.3+forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file inventorio-mc1.20.1-forge-v1.10.3.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file inventoryhud.forge.1.20.1-3.4.22.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file InventoryProfilesNext-forge-1.20-1.10.10.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file ironchest-1.20.1-14.4.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file Jade-1.20.1-forge-11.9.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file JadeAddons-1.20.1-forge-5.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file jeed-1.20-2.1.12.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file jei-1.20.1-forge-15.3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file JustEnoughResources-1.20.1-1.4.0.247.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
[19:18:44] [main/INFO]: Found mod file justzoom_forge_1.0.2_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack\mods}
